,comment,level,label,cleaned
2806,Поняла ! Как деньги наслбираю напишу Вам ,simpleTree,другие,Поняла о Как деньги насбираю напишу Вам
2807,Костюм ,simpleTree,другие,Костюм
2808,Сколько будет стоить ? ,simpleTree,другие,Сколько будет стоить о
2809,Легкая ткань однозначно ,simpleTree,другие,Легкая ткань однозначно
2810,Они будут из вискозы ? ,simpleTree,другие,Они будут из вискозы о
2811,С резинкой хорошие брюки ,simpleTree,другие,С резинкой хорошие брюки
2812,А цена какая будет костюма ? ,simpleTree,вопросы о товаре,А цена какая будет костюма о
2813,А вы говорили что то из вискоза есть ,simpleTree,вопросы о товаре,А вы говорили что то из вискоза есть
2814,*** Вы забыли про меня ? ,simpleTree,общеразговорные,*** Вы забыли про меня о
2815,Жду ,simpleTree,общеразговорные,Жду
2816,Ждц ,simpleTree,другие,Жди
2817,Ок ,simpleTree,общеразговорные,К
2818,Наподобие такого хочу ,simpleTree,другие,Наподобие такого хочу
2819,И какие модели ? ,simpleTree,другие,И какие модели о
2820,А цена ? ,simpleTree,другие,А цена о
2821,Какие ? ,simpleTree,другие,Какие о
2822,? ,simpleTree,другие,о
2823,А огурцы есть ! ,simpleTree,другие,А огурцы есть о
2824,Розовый бы ,simpleTree,другие,Розовый бы
2825,Нет у меня такой синий есть Ваш ,simpleTree,другие,Нет у меня такой синий есть Ваш
2826,Типо такое ,simpleTree,другие,Пито такое
2827,А розовые есть цвета ? ,simpleTree,другие,А розовые есть цвета о
2828,Вы на заказ шьете ? ,simpleTree,вопросы о сервисе,Вы на заказ шьете о
2829,*** здравствуйте ,simpleTree,общеразговорные,*** здравствуйте
2830,"Хорошо , потом скиньте , пожалуйста , трек-номер для отслеживания посылки . ",simpleTree,вопросы о сервисе,Хорошо о потом скиньте о пожалуйста о трек-номер для отслеживания посылки .
2831,"Спасибо , что ответили ! Реквизиты для оплаты скиньте , пожалуйста ) ",simpleTree,вопросы о сервисе,Спасибо о что ответили о Реквизиты для оплаты скиньте о пожалуйста о
2832,. ,simpleTree,другие,.
2833,"**** , здравствуйте . Не ответили мне ... ",simpleTree,вопросы о сервисе,**** о здравствуйте . Не ответили мне ...
2834,? ? ,simpleTree,другие,о о
2835,"**** , здравствуйте . Поступил халат ? Когда будете отправлять заказ ? ",simpleTree,вопросы о сервисе,**** о здравствуйте . Поступил халат о Когда будете отправлять заказ о
2836,"Ой , точно ! ******** **** ********** ",simpleTree,другие,Ой о точно о ******** **** **********
2837,"Спасибо , буду ждать ) ) ",simpleTree,другие,Спасибо о буду ждать о о
2838,В адресе опечатка вышла : с . ******* правильно . ,simpleTree,другие,В адресе опечатка вышла о с . ******* правильно .
2839,Про ткани прочитала . Реквизиты для оплаты скинете во вторник ? ,simpleTree,вопросы о сервисе,Про ткани прочитала . Реквизиты для оплаты скинете во вторник о
2840,Оплачивать буду на карту ,simpleTree,вопросы о сервисе,Оплачивать буду на карту
2841,А ткани по плотности сильно отличаются ? ,simpleTree,вопросы о товаре,А ткани по плотности сильно отличаются о
2842,"Адрес : ****** , Республика **** , Сысольский район , с . ******* , ул . Победы , д . ** . Номер телефона : ********** * ",simpleTree,другие,Адрес о ****** о Республика **** о Посольский район о с . ******* о ул . Победы о да . ** . Номер телефона о ********** о
2843,Мне надо блузу м272 и брюки м510 из плотной ткани . Халат из легкой . ,simpleTree,другие,Мне надо блузу м272 и брюки магм из плотной ткани . Халат из легкой .
2844,На счёт ткани не очень поняла ? ,simpleTree,другие,На счет ткани не очень поняла о
2845,О доставке не уточнили ,simpleTree,вопросы о сервисе,О доставке не уточнили
2846,"А блуза м272 из плотной ткани ? Хотела как костюм , чтобы из одинаковой плотности ткани были ",simpleTree,вопросы о товаре,А блуза м272 из плотной ткани о Хотела как костюм о чтобы из одинаковой плотности ткани были
2847,? ? ? ,simpleTree,другие,о о о
2848,"В условиях заказа написано , что при заказе на сумму более **** руб . доставка бесплатная по ****** . Это актуально при доставке почтой ? ",simpleTree,вопросы о сервисе,В условиях заказа написано о что при заказе на сумму более **** руб . доставка бесплатная по ****** . Это актуально при доставке почтой о
2849,Есть в наличии ** размер ? ,simpleTree,вопросы о товаре,Есть в наличии ** размер о
2850,"**** , здравствуйте . Хотела бы сделать заказ медицинской одежды . Интересуют такие модели ",simpleTree,вопросы о товаре,**** о здравствуйте . Хотела бы сделать заказ медицинской одежды . Интересуют такие модели
2851,Он есть ** ? ,simpleTree,другие,Он есть ** о
2852,*** ******* еще сиреневый который со скидкой ,simpleTree,другие,*** ******* еще сиреневый который со скидкой
2853,Ток фамилия у меня теперь не Яровая :) *********** ******** :) ,simpleTree,другие,Ток фамилия у меня теперь не Яровая о о *********** ******** о о
2854,"* вы отправили , а * ноября уже было на месте ",simpleTree,другие,о вы отправили о а о ноября уже было на месте
2855,Кстати быстро пришла посылка :) ,simpleTree,другие,Кстати быстро пришла посылка о о
2856,Ну **** такой же будет да ? ,simpleTree,другие,Ну **** такой же будет да о
2857,"Когда отправите , завтра ? ",simpleTree,вопросы о сервисе,Когда отправите о завтра о
2858,Я тоже так думаю :) вы тогда вложите возврат на штаны если что ? ,simpleTree,вопросы о сервисе,Я тоже так думаю о о вы тогда вложите возврат на штаны если что о
2859,Ну давайте ** :) у меня как раз пузо расти скоро начнет :) ну а эти я тогда завтра обратно отправлю да ? или потом с теми если что вместе ? ,simpleTree,другие,Ну давайте ** о о у меня как раз пузо расти скоро начнет о о ну а эти я тогда завтра обратно отправлю да о или потом с теми если что вместе о
2860,Банданы как всегда супер ,simpleTree,другие,Панданы как всегда супер
2861,Все остальное вроде отлично :) мужу рубашка отлично точно :) завтра на работе отдам те костюмы :) ,simpleTree,другие,Все остальное вроде отлично о о мужу рубашка отлично точно о о завтра на работе отдам те костюмы о о
2862,По цене так же ? ,simpleTree,другие,По цене так же о
2863,С резинкой ,simpleTree,другие,С резинкой
2864,Так мне вот такой модели зеленые пришли ,simpleTree,другие,Так мне вот такой модели зеленые пришли
2865,Неее блуза норм ,simpleTree,другие,Неве блуза норм
2866,Ну нет :) зеленые как будто меньше :) прям ляхи обтянул и попу :) ,simpleTree,другие,Ну нет о о зеленые как будто меньше о о прям ляхи обтянул и попу о о
2867,Думала мож жирная стала :) ,simpleTree,другие,Думала мой жирная стала о о
2868,"Самое интересное что у меня такие штаны есть точь в точь ** белые и они норм , только что мерила ",simpleTree,другие,Самое интересное что у меня такие штаны есть точь в точь ** белые и они норм о только что мерила
2869,А ** нет на них ? ,simpleTree,другие,А ** нет на них о
2870,Впритык :) ,simpleTree,другие,Впритык о о
2871,Мне почему то от костюма маловаты :( штаны ,simpleTree,другие,Мне почему то от костюма маловаты о о штаны
2872,Получила посылку :) ,simpleTree,другие,Получила посылку о о
2873,Какая прелесть :) ждем с нетерпением :) ,simpleTree,другие,Какая прелесть о о ждем с нетерпением о о
2874,Когда сестре в ******* кидала тоже комиссия ,simpleTree,другие,Когда сестре в ******* кидала тоже комиссия
2875,Точнее ,simpleTree,другие,Точнее
2876,Области ,simpleTree,другие,Области
2877,Что города разные :) ,simpleTree,другие,Что города разные о о
2878,Ток блин комиссия еще *** р :) ,simpleTree,другие,Ток блин комиссия еще *** ро о о
2879,Перевела ,simpleTree,другие,Перевела
2880,Сегодня постараюсь перевести чуток докину на карту ,simpleTree,другие,Сегодня постараюсь перевести чуток докину на карту
2881,Ну давайте прикинем ,simpleTree,другие,Ну давайте прикинем
2882,Там по возможностям смотрите ,simpleTree,другие,Там по возможностям смотрите
2883,Ну типа того ,simpleTree,другие,Ну типа того
2884,и мы его раскидаем усиленно ,simpleTree,другие,и мы его раскидаем усиленно
2885,давайте уже перед нг помасштабнее ,simpleTree,другие,давайте уже перед на помасштабнее
2886,и насчте ******* ,simpleTree,другие,и насчет *******
2887,там * сообщений висит по одежде ,simpleTree,другие,там о сообщений висит по одежде
2888,"*** , добрый день ",simpleTree,общеразговорные,*** о добрый день
2889,можно найти и повторить ) ,simpleTree,другие,можно найти и повторить о
2890,присылайте список призов ,simpleTree,другие,присылайте список призов
2891,давайте ,simpleTree,другие,давайте
2892,можно на конец месяца ,simpleTree,другие,можно на конец месяца
2893,не знаю ,simpleTree,другие,не знаю
2894,давайте на следующей недельке тогда ,simpleTree,другие,давайте на следующей недельке тогда
2895,) ,simpleTree,другие,о
2896,Надо бы нам конкурс сделать основательный такой ) ,simpleTree,другие,Надо бы нам конкурс сделать основательный такой о
2897,Пожалуйста ) ,simpleTree,другие,Пожалуйста о
2898,Передал ,simpleTree,другие,Передал
2899,Ок ) спасибо ) ,simpleTree,общеразговорные,К о спасибо о
2900,От моего ? Или от медицины ? ,simpleTree,другие,От моего о Или от медицины о
2901,"Ок , спасибо ",simpleTree,общеразговорные,К о спасибо
2902,К кому ему подойти и что спросить ? ,simpleTree,другие,К кому ему подойти и что спросить о
2903,В ******* завтра за костюмом зайдёт ,simpleTree,другие,В ******* завтра за костюмом зайдет
2904,Там папа парня которому мы костюм заказывали из ******* ,simpleTree,другие,Там папа парня которому мы костюм заказывали из *******
2905,"*** , доброй ночи ",simpleTree,другие,*** о доброй ночи
2906,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
2907,Спасибо ,simpleTree,общеразговорные,Спасибо
2908,Ок ,simpleTree,общеразговорные,К
2909,Я заблокировал ту карту ,simpleTree,другие,Я заблокировал ту карту
2910,Спасибо большое ,simpleTree,общеразговорные,Спасибо большое
2911,Все верно ,simpleTree,другие,Все верно
2912,Да ,simpleTree,общеразговорные,Да
2913,"*** , добрый вечер ) вы про нас не забыли ? ",simpleTree,общеразговорные,*** о добрый вечер о вы про нас не забыли о
2914,"Федькина ***** ********** ********** * , оплачу отпишусь ",simpleTree,другие,Федьки на ***** ********** ********** о о оплачу отпишусь
2915,"День добрый на карту удобнее , ****** Нижегородская обл . , г . ******* , ул . ******** д7 кв ** ",simpleTree,другие,День добрый на карту удобнее о ****** Нижегородская обл . о го . ******* о ул . ******** да кв **
2916,"Добрый вечер мне бы хотелось заказать флэшку в виде капсулы и ручку в виде шприца синего , как можно это сделать ? ",simpleTree,вопросы о сервисе,Добрый вечер мне бы хотелось заказать флэшку в виде капсулы и ручку в виде шприца синего о как можно это сделать о
2917,Спасибо большое ! там надо что то доплатить ? что меня по сумме получилось ? ,simpleTree,вопросы о сервисе,Спасибо большое о там надо что то доплатить о что меня по сумме получилось о
2918,"Добрый день ! *** , вы выслали ? ",simpleTree,вопросы о сервисе,Добрый день о *** о вы выслали о
2919,Тогда все жду ! ! ! ,simpleTree,другие,Тогда все жду о о о
2920,Брюки есть ? ,simpleTree,другие,Брюки есть о
2921,"Давайте белый ! и отправим все на этой неделе , а ? ",simpleTree,другие,Давайте белый о и отправим все на этой неделе о а о
2922,"** размер , м132 белый можно ! ",simpleTree,другие,** размер о магм белый можно о
2923,"*** , а м26 есть ** ? ",simpleTree,другие,*** о а МВД есть ** о
2924,Какой модели ** нет ? ,simpleTree,другие,Какой модели ** нет о
2925,А что есть ** размера из моделей м *** или м132 ? ,simpleTree,вопросы о товаре,А что есть ** размера из моделей мы *** или магм о
2926,"*** , доброе утро ! давайте уже что то сделаем . или вы мне отправите халатики , или деньги . я работаю и часто вк я не могу заглядывать . я же уже определилась , сейчас жду ответа по последним моделям ... ",simpleTree,другие,*** о доброе утро о давайте уже что то сделаем . или вы мне отправите халатики о или деньги . я работаю и часто во я не могу заглядывать . я же уже определилась о сейчас жду ответа по последним моделям ...
2927,"Юлечка , доброе утро ! наконец то определились ! ! ! мне м111 , белый р ** ; брюки р ** м *** , ещё нужен мужской халат м ** р ** ; и что есть ** размера модели м114 или м132 ? пока все ... ",simpleTree,вопросы о сервисе,Люлечка о доброе утро о наконец то определились о о о мне м111 о белый ро ** о брюки ро ** мы *** о еще нужен мужской халат мы ** ро ** о и что есть ** размера модели магм или магм о пока все ...
2928,"И м *** на мой размер какой есть **** . какие вы брюки посоветуете на ** размер , рост *** , не низкие . ",simpleTree,вопросы о товаре,И мы *** на мой размер какой есть **** . какие вы брюки посоветуете на ** размер о рост *** о не низкие .
2929,"*** , подскажите , брюки ****** бывают ? ",simpleTree,вопросы о товаре,*** о подскажите о брюки ****** бывают о
2930,Но я не понимаю почему вы мне неделями не отвечаете ? ,simpleTree,общеразговорные,Но я не понимаю почему вы мне неделями не отвечаете о
2931,"Хотелось уточнить и по моделям , тканям , ****** и конечно размеру . я думала все узнать , а потом определится и заказать всем сотрудникам одинаковую одежку ... у вас все очень красиво ! цена качество безукоризненно ! ! ! ",simpleTree,вопросы о товаре,Хотелось уточнить и по моделям о тканям о ****** и конечно размеру . я думала все узнать о а потом определится и заказать всем сотрудникам одинаковую одежку ... у вас все очень красиво о цена качество безукоризненно о о о
2932,"Добрый день ! а вы когда нибудь мне вышлите халатики , которые я оплатила ? мне уже досадно , что не ответов не приветов . я ношу ***** размер стабильный ! и не моя вина , что они чуть меньше ! вы можете перечислить мне деньги обратно и я найду , фирму которая захочет одеть * сотрудников ... мне очень досадно , что так получилось именно со мной . ",simpleTree,вопросы о сервисе,Добрый день о а вы когда нибудь мне вышлите халатики о которые я оплатила о мне уже досадно о что не ответов не приветов . я ношу ***** размер стабильный о и не моя вина о что они чуть меньше о вы можете перечислить мне деньги обратно и я найду о фирму которая захочет одеть о сотрудников ... мне очень досадно о что так получилось именно со мной .
2933,"Да , ** . я вроде ещё могу халатик заказать ? ",simpleTree,вопросы о сервисе,Да о ** . я вроде еще могу халатик заказать о
2934,Может вы в отпуске ? ,simpleTree,другие,Может вы в отпуске о
2935,*** ! доброе утро ! вы про меня помните ? ,simpleTree,общеразговорные,*** о доброе утро о вы про меня помните о
2936,"*** , доброе утро ! вы получили халатики ? ",simpleTree,общеразговорные,*** о доброе утро о вы получили халатики о
2937,"*** , и напишите , что по ткани , что плотное , что нет . ",simpleTree,вопросы о товаре,*** о и напишите о что по ткани о что плотное о что нет .
2938,"Я напишу , что хотелось бы , а вы что есть в размерах : м26 белый , м ** черный , м111 можно мятный . ",simpleTree,вопросы о товаре,Я напишу о что хотелось бы о а вы что есть в размерах о МВД белый о мы ** черный о м111 можно мятный .
2939,"*** , добрый день ! мне уже надо сделать другой заказ или подождать пока моя посылка к вам доедет ? ",simpleTree,вопросы о сервисе,*** о добрый день о мне уже надо сделать другой заказ или подождать пока моя посылка к вам доедет о
2940,Отчество не уточнила у ******* . посылка едет без отчества ... ,simpleTree,другие,Отчество не уточнила у ******* . посылка едет без отчества ...
2941,*********** *** ,simpleTree,другие,*********** ***
2942,Номер почтового идентификатора ? ,simpleTree,вопросы о сервисе,Номер почтового идентификатора о
2943,Отправила ! ,simpleTree,другие,Отправила о
2944,"Спасибо , как отправлю , напишу и решим , на что меняем . ",simpleTree,другие,Спасибо о как отправлю о напишу и решим о на что меняем .
2945,"Юлечка , очень надо сегодня ",simpleTree,другие,Люлечка о очень надо сегодня
2946,И что есть из стрейчивой ткани ? ,simpleTree,вопросы о товаре,И что есть из остойчивой ткани о
2947,"*** , добрый день ! напишите адрес **** отправить халатики на обмен . ",simpleTree,вопросы о сервисе,*** о добрый день о напишите адрес **** отправить халатики на обмен .
2948,"Я как все отправлю , напишу что на сто меняем . очень все понравилось ! ",simpleTree,другие,Я как все отправлю о напишу что на сто меняем . очень все понравилось о
2949,"*** , добрый день ! на какой адрес отправлять на обмен ? к сожалению наша почта работает со мной в одном графике , только появилась возможность отправить . ",simpleTree,вопросы о сервисе,*** о добрый день о на какой адрес отправлять на обмен о к сожалению наша почта работает со мной в одном графике о только появилась возможность отправить .
2950,"**** , объем бедер ** см , получается по таблице ** размер брюк ? Доставка почтой ! ",simpleTree,вопросы о сервисе,**** о объем бедер ** см о получается по таблице ** размер брюк о Доставка почтой о
2951,"Здравствуйте **** ! Я хотела бы сделать заказ ! Блуза М - ** белый **** с коралловыми вставками , короткий рукав ( если все это возможно ) размер ** , ткань САТОРИ . Брюки белые узкие *** , размер ** , ткань САТОРИ ( если есть какие-нибудь белые узкие брюки меньшего размера то мне самые маленькие ) . Халат М ** , белый **** , размер ** , ткань ТИСИ . Брюки белые модель *** , размер ** , ткань ТИСИ . Адрес : г . ****** , ул . Коровинское шоссе , д . ** , **** . * , кв . ** индекс ****** т . ****** ******* ** ",simpleTree,вопросы о сервисе,Здравствуйте **** о Я хотела бы сделать заказ о Блуза ЧМ о ** белый **** с коралловыми вставками о короткий рукав о если все это возможно о размер ** о ткань НАТОРИ . Брюки белые узкие *** о размер ** о ткань НАТОРИ о если есть какие-нибудь белые узкие брюки меньшего размера то мне самые маленькие о . Халат ЧМ ** о белый **** о размер ** о ткань СИТИ . Брюки белые модель *** о размер ** о ткань СИТИ . Адрес о го . ****** о ул . Словинское шоссе о да . ** о **** . о о кв . ** индекс ****** те . ****** ******* **
2952,Спасибо ,simpleTree,общеразговорные,Спасибо
2953,"Извините , просто смс я не получала ! Вопросы в теме "" вопрос-ответ "" ! **** , если можно я другой сделаю заказ , попозже вам напишу вконтакте ",simpleTree,вопросы о сервисе,Извините о просто см я не получала о Вопросы в теме `` вопрос-ответ `` о **** о если можно я другой сделаю заказ о попозже вам напишу контакте
2954,Да ,simpleTree,общеразговорные,Да
2955,Здравствуйте ! ,simpleTree,общеразговорные,Здравствуйте о
2956,На сайте ,simpleTree,другие,На сайте
2957,"Пожалуйста . Вам ещё раз спасибо , очень удобные , в работе будет то , что надо ",simpleTree,другие,Пожалуйста . Вам еще раз спасибо о очень удобные о в работе будет то о что надо
2958,"*** , добрый день ) как и обещала , отправляю ******** ) все просто отлично , ещё раз спасибо огромное ) ) ) ",simpleTree,другие,*** о добрый день о как и обещала о отправляю ******** о все просто отлично о еще раз спасибо огромное о о о
2959,"*** , добрый день . Получила бандероль , приехала как раз с суток и увидела в ящике извещение ) очень быстро дошла ) спасибо огромное ) примерка и ******** чуть позже ) ",simpleTree,другие,*** о добрый день . Получила бандероль о приехала как раз с суток и увидела в ящике извещение о очень быстро дошла о спасибо огромное о примерка и ******** чуть позже о
2960,"Добрый день ) спасибо , буду ждать ) ",simpleTree,другие,Добрый день о спасибо о буду ждать о
2961,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
2962,На завязках ,simpleTree,другие,На завязках
2963,Темно - синего ,simpleTree,другие,Темно о синего
2964,"*** , извините , что снова обращаюсь . Как всегда эта мысль приходит позже ) а можно ли к этим костюмам добавить колпаки ? ",simpleTree,вопросы о сервисе,*** о извините о что снова обращаюсь . Как всегда эта мысль приходит позже о а можно ли к этим костюмам добавить колпаки о
2965,"Спасибо большое , буду ждать ) ",simpleTree,другие,Спасибо большое о буду ждать о
2966,Мне удобнее оплатить на почте . Индекс ****** Московская область г . ****** улица Советская д . ** кв . ** ********* ******* ********* . Заранее огромное спасибо ) ,simpleTree,другие,Мне удобнее оплатить на почте . Индекс ****** Московская область го . ****** улица Советская да . ** кв . ** ********* ******* ********* . Заранее огромное спасибо о
2967,Хорошо ,simpleTree,общеразговорные,Хорошо
2968,Да ,simpleTree,общеразговорные,Да
2969,"Всё подходит на ** , единственное талия ** см . ",simpleTree,другие,Всё подходит на ** о единственное талия ** см .
2970,"Единственное , в чем есть сомнения , это размер . Но думаю , что все таки ** . Хотела бы заказать мятный костюм блуза м *** , брюки м *** и блуза м ** светло серая и брюки м519 темно синие . ",simpleTree,вопросы о сервисе,Единственное о в чем есть сомнения о это размер . Но думаю о что все таки ** . Хотела бы заказать мятный костюм блуза мы *** о брюки мы *** и блуза мы ** светло серая и брюки магм темно синие .
2971,"*** , здравствуйте . Хотела бы сделать заказ . ",simpleTree,вопросы о сервисе,*** о здравствуйте . Хотела бы сделать заказ .
2972,А расцветка тканей ? ,simpleTree,вопросы о товаре,А расцветка тканей о
2973,"Доброе утро , какие цвета тканей есть в наличии ? Какие ****** ? Спасибо . ",simpleTree,вопросы о товаре,Доброе утро о какие цвета тканей есть в наличии о Какие ****** о Спасибо .
2974,"Добрый день , кораловый **** не появился ? ",simpleTree,вопросы о товаре,Добрый день о коралловый **** не появился о
2975,"Добрый день , какие сейчас в наличии цвета тканей ? ",simpleTree,вопросы о товаре,Добрый день о какие сейчас в наличии цвета тканей о
2976,"Спасибо , посылку получила , все подошло . ",simpleTree,другие,Спасибо о посылку получила о все подошло .
2977,"Я бы просто скинула на карту , ну ничего страшного ... ",simpleTree,другие,Я бы просто скинула на карту о ну ничего страшного ...
2978,"Добрый день , а почему вы не пишите , что вам доплатить нужно ? ",simpleTree,другие,Добрый день о а почему вы не пишите о что вам доплатить нужно о
2979,Ок ,simpleTree,общеразговорные,К
2980,"Добрый день , вы мне отправили ? ",simpleTree,вопросы о сервисе,Добрый день о вы мне отправили о
2981,"Добрый день , посылка пришла ? ",simpleTree,другие,Добрый день о посылка пришла о
2982,Спасибо ,simpleTree,общеразговорные,Спасибо
2983,Почему вы не отвечаете ? ,simpleTree,общеразговорные,Почему вы не отвечаете о
2984,Посылку отправила код ********** **** ,simpleTree,другие,Посылку отправила код ********** ****
2985,Ок ,simpleTree,общеразговорные,К
2986,"Халат тоже отправляю , да ? ",simpleTree,другие,Халат тоже отправляю о да о
2987,Я отправлю в пятницу или субботу . А халат ? ,simpleTree,другие,Я отправлю в пятницу или субботу . А халат о
2988,"Напишите , **** выслать костюм и халат ",simpleTree,другие,Напишите о **** выслать костюм и халат
2989,"Давайте с черными , брюки ** , блуза ** ",simpleTree,вопросы о сервисе,Давайте с черными о брюки ** о блуза **
2990,Еще никто костюм не заказывал ? Лучше черные брюки или индиго ? ,simpleTree,другие,Еще никто костюм не заказывал о Лучше черные брюки или индиго о
2991,Это индиго ? ,simpleTree,другие,Это индиго о
2992,В готовом костюме есть фото ткани индиго ,simpleTree,другие,В готовом костюме есть фото ткани индиго
2993,Какая лучше под космос черная или индиго ? ,simpleTree,другие,Какая лучше под космос черная или индиго о
2994,Просто темно-синий у меня костюм есть . ,simpleTree,другие,Просто темно-синий у меня костюм есть .
2995,А индиго в наличии или это темно - синий ? ,simpleTree,другие,А индиго в наличии или это темно о синий о
2996,"Выбор ткани все меньше и меньше , а какой фон у ткани космос ? Черный ? Брюки под *** черные нужны ? ",simpleTree,вопросы о товаре,Выбор ткани все меньше и меньше о а какой фон у ткани космос о Черный о Брюки под *** черные нужны о
2997,Да все так же ,simpleTree,другие,Да все так же
2998,Телефон не написала : ********** * ,simpleTree,другие,Телефон не написала о ********** о
2999,"Вот отлично ! Пункт Гордеевская , * ",simpleTree,другие,Вот отлично о Пункт Егорьевская о о
3000,А может транспортной можно ? Там сильно стоимость отличается ? ,simpleTree,вопросы о сервисе,А может транспортной можно о Там сильно стоимость отличается о
3001,ФИО те же ,simpleTree,другие,ФИО те же
3002,"Нижний ******** , ********* ** - ** . ****** . ",simpleTree,другие,Нижний ******** о ********* ** о ** . ****** .
3003,Мне из легкой нужен . ,simpleTree,другие,Мне из легкой нужен .
3004,Из легкой ткани ? Забыла уточнить ,simpleTree,другие,Из легкой ткани о Забыла уточнить
3005,"Да , нужен именно с коротким ) ",simpleTree,другие,Да о нужен именно с коротким о
3006,"Здравствуйте ! Подскажите , пожалуйста , ** размер есть в наличии ? https://vk.com/photo-45062169_456241121 ",simpleTree,вопросы о товаре,Здравствуйте о Подскажите о пожалуйста о ** размер есть в наличии о http о //vk.com/photo-45062169_456241121
3007,Уже ) загрузила в альбом ) ,simpleTree,другие,Уже о загрузила в альбом о
3008,"Здравствуйте ! Большое Вам спасибо ! Вчера наконец-то смогла забрать с почты свой заказ ) костюм подошёл идеально , давно уже блузки ** размера не сидели в плечах свободно . С наступающими праздниками Вас и всю команду Цветоформы , всех благ ! ",simpleTree,другие,Здравствуйте о Большое Вам спасибо о Вчера наконец-то смогла забрать с почты свой заказ о костюм подошел идеально о давно уже блузки ** размера не сидели в плечах свободно . С наступающими праздниками Вас и всю команду Светофоры о всех благ о
3009,Здравствуйте ! А можно узнать трек-номер отправления ? ,simpleTree,вопросы о сервисе,Здравствуйте о А можно узнать трек-номер отправления о
3010,Здравствуйте ! Перевод с карты * **** ***** ******** К . ***** . ** ***** . ,simpleTree,другие,Здравствуйте о Перевод с карты о **** ***** ******** К . ***** . ** ***** .
3011,"Хорошо , завтра в течении дня переведу и сразу Вам отпишусь . ",simpleTree,другие,Хорошо о завтра в течении дня переведу и сразу Вам отпишусь .
3012,Благодарю . ,simpleTree,общеразговорные,Благодарю .
3013,"Хорошо , я подожду ) ",simpleTree,другие,Хорошо о я подожду о
3014,"Благодарю . Удобнее сразу на карту . * микрорайон , д . ** , кв . ** , г . Лянтор Сургутский р-н , ХМАО - **** , ****** . ********* ***** ******** . ********** * ",simpleTree,другие,Благодарю . Удобнее сразу на карту . о микрорайон о да . ** о кв . ** о го . Торонто Сургутский ро-н о ОМАХ о **** о ****** . ********* ***** ******** . ********** о
3015,Здравствуйте ! Можно заказать такой костюм размер ** рост *** из лёгкой ткани ? http://vk.com/photo-45062169_420592499 ,simpleTree,вопросы о сервисе,Здравствуйте о Можно заказать такой костюм размер ** рост *** из легкой ткани о http о //vk.com/photo-45062169_420592499
3016,Спасибо . ,simpleTree,общеразговорные,Спасибо .
3017,Боюсь не попасть в размер . ,simpleTree,другие,Боюсь не попасть в размер .
3018,"Думаю , заказать халатик или платье бирюзовое ... ",simpleTree,вопросы о сервисе,Думаю о заказать халатик или платье бирюзовое ...
3019,"**** , здравствуйте . Скажите , пожалуйста , халат идёт размер в размер ? Или маломерит ? Я покупаю ** , редко ** ",simpleTree,вопросы о товаре,**** о здравствуйте . Скажите о пожалуйста о халат идут размер в размер о Или мало мерит о Я покупаю ** о редко **
3020,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
3021,"Добрый вечер ! Скажите , пожалуйста , халат *** м4 из плотной ткани или из тонкой ? ",simpleTree,вопросы о товаре,Добрый вечер о Скажите о пожалуйста о халат *** мы из плотной ткани или из тонкой о
3022,"Здравствуйте . Спасибо ) , вы мне не отвечали и я сделала заказ в другом магазине . ",simpleTree,общеразговорные,Здравствуйте . Спасибо о о вы мне не отвечали и я сделала заказ в другом магазине .
3023,"Здравствуйте , *** . Хочу заказать этот халат ",simpleTree,вопросы о сервисе,Здравствуйте о *** . Хочу заказать этот халат
3024,"Спасибо , я уже получила посылку . Все подошло , понравилось , и спасибо за подарок :) ",simpleTree,другие,Спасибо о я уже получила посылку . Все подошло о понравилось о и спасибо за подарок о о
3025,Спасибо ,simpleTree,общеразговорные,Спасибо
3026,Оба халата пусть будут из плотной ткани ,simpleTree,другие,Оба халата пусть будут из плотной ткани
3027,** размер . Мурманская область г . ****** ул Школьная дом * квартира * *** : ****** ******** **** ********** один халат из тонкой ткани второй из плотной ,simpleTree,другие,** размер . Мурманская область го . ****** ул Школьная дом о квартира о *** о ****** ******** **** ********** один халат из тонкой ткани второй из плотной
